id,label
13336,Conselho regional de engenharia arquitetura e agronomia
13336,Creaa
13336,Crea
13336,Conselho regional de engenharia e agronomia
13337,Crf
13337,Conselho regional de farmácia
13691,Ato criminoso
13691,Ato delituoso
13722,Crime tributário
13722,Ilícito tributário
13722,Delito tributário
13831,Método trifásico
13831,Sistema trifásico
13340,Conselho regional de medicina
13340,Crm
13342,Conselho regional de odontologia
13342,Cro
13343,Conselho regional de psicologia
13343,Crp
13347,Conselho regional do trabalho marítimo
13347,Crtm
12588,Ctps
12588,Carteira de trabalho e previdência social
13930,Custo unitário básico
13930,Cub
13003,Comissão de valores mobiliários
13003,Cvm
14618,Direção e assessoramento intermediário
14618,Direção e assistência intermediária
14618,Dai
14618,Encargo de direção ou assistência intermediária
14739,Documento de arrecadação de receitas federais
14739,Darf
14617,Direção e assessoramento superior
14617,Das
14614,Diretório central de estudantes
14614,Dce
14614,Diretório central dos estudantes
14028,Falecido
14028,Morto
14211,Departamento de comércio exterior
14211,Decex
14211,Departamento de operações de comércio exterior
14037,Sentença citra petita
14037,Julgamento citra petita
14043,Sentença extra petita
14043,Julgamento extra petita
14057,Sentença ultra petita
14057,Julgamento ultra petita
14057,Decisão além do pedido
14057,Julgamento além do pedido
14057,Sentença além do pedido
14090,Declaração incidenter tantum
14090,Declaração incidental
14168,Fato delituoso
14168,Infração penal
14222,Departamento nacional de trânsito
14222,Denatran
14193,Nomen juris
14193,Nomen iuris
14223,Dnaee
14223,Departamento nacional de águas e  energia elétrica
14221,Dnta
14221,Departamento nacional de transportes aquaviários
16512,Desconsideração da pessoa jurídica
16512,Disregard of legal entity
16512,Lifting the corporate veil
14318,Rescisão de julgado
14318,Desconstituição do julgado
14318,Rescisão do julgado
14323,Erro de tipo permissivo
14323,Erro sui generis
14323,Eximente putativa
14213,Departamento de trânsito
14213,Detran
14213,Departamento estadual de trânsito
14213,Departamento de trânsito (detran)
14456,Decêndio
14456,10 dias
14720,Diário oficial da justiça
14720,Diário de justiça
14720,Diário oficial de justiça
14521,Direito de preempção
14521,Preempção
14216,Departamento nacional de estradas de rodagem
14216,Dner
14218,Departamento nacional de obras contra a seca
14218,Departamento nacional de obras contra as secas
14218,Dnocs
14220,Departamento nacional de proteção e defesa econômica
14220,Dnpde
14728,Doação modal
14728,Doação onerosa
14754,Enfermidade
14754,Moléstia
14762,Enfermidade grave
14762,Moléstia grave
14753,Deficiente mental
14753,Psicopata
14773,Biênio
14773,02 anos
14782,Dolo especial
14782,Dolo com intenção ulterior
14822,Draw back
14822,Draw-back
15050,Empresa brasileira de correios e telégrafos
15050,Ect
14896,Efeito modificativo
14896,Caráter infringente
14896,Caráter modificativo
14910,Antecipação da tutela recursal
14910,Antecipação de tutela recursal
15109,Endosso pleno
15109,Endosso nominativo
15109,Endosso completo
15109,Endosso cheio
15135,Enriquecimento ilícito
15135,Locupletamento
15146,Entidade filantrópica
15146,Instituição beneficente
15146,Sociedade beneficente
15146,Sociedade caritativa
15146,Sociedade filantrópica
15146,Instituição de beneficência
15146,Instituição de caridade
15146,Instituição filantrópica
15146,Entidade sem fim lucrativo
15157,Droga
15157,Tóxico
15333,Eoab
15333,Estatuto da ordem dos advogados do brasil
15228,Cofres públicos
15228,Tesouro público
15228,Erário público
15215,Erro invencível
15215,Erro inevitável
15215,Erro justificável
15215,Erro inculpável
15215,Erro desculpável
15219,Erro indesculpável
15219,Erro vencível
15219,Erro evitável
15219,Erro injustificável
15219,Erro culpável
15223,Erro de pessoa
15223,Error in persona
15293,Entidade educacional
15293,Escola
15293,Instituição de educação
15293,Instituição de ensino
15293,Colégio
15331,Eca
15331,Estatuto da criança e do adolescente
15357,Linha férrea
15357,Via férrea
15396,Ex-esposa
15396,Ex-marido
15388,Ato de ofício
15388,De ofício
15388,Ex-officio
15414,Autópsia
15414,Necropsia
15465,Excludente da culpabilidade
15465,Dirimente
15465,Causa de exclusão da culpabilidade
15465,Causa de exclusão de culpabilidade
15465,Exclusão de culpabilidade
15465,Exclusão da culpabilidade
15484,Ação executiva fiscal
15484,Executivo fiscal
15484,Processo executivo fiscal
15488,Ação executiva
15488,Execução forçada
15617,Fax
15617,Fac simile
15972,Fundo de aplicação financeira
15972,Faf
15977,Fundo de compensação de variações salariais
15977,Fcvs
15956,Fundação estadual para o bem-estar do menor
